asset_id,empID,asset_name,asset_type,purchase_date,status
1,3,Laptop However,Mobile,2022-06-26,Returned
2,3,Keyboard Want,Mac,2023-11-25,Returned
3,4,Access Card Ground,Mouse,2025-01-13,Returned
4,4,Laptop Walk,Mouse,2024-02-28,Lost
5,6,Mouse Most,Monitor,2023-08-16,Lost
6,6,Access Card Country,Access Card,2025-02-19,Issued
7,7,Mac Type,Mouse,2025-02-02,Issued
8,7,Mobile Measure,Access Card,2023-08-06,Issued
9,9,Keyboard What,Mac,2023-06-22,Lost
10,9,Keyboard Affect,Laptop,2024-10-10,Returned
11,10,Laptop Financial,Keyboard,2023-04-23,Lost
12,10,Mouse Impact,Laptop,2024-03-10,Lost
13,11,Monitor Someone,Mouse,2022-06-18,Returned
14,12,Laptop Of,Mouse,2023-10-08,Issued
15,12,Mac Toward,Mobile,2023-02-18,Lost
16,13,Mouse Almost,Monitor,2022-05-30,Lost
17,13,Mouse I,Keyboard,2025-01-24,Lost
18,14,Laptop Democrat,Laptop,2025-02-12,Returned
19,14,Mobile About,Mobile,2025-05-14,Issued
20,14,Mac Serve,Keyboard,2022-12-03,Lost
21,15,Laptop Eye,Mobile,2023-10-11,Issued
22,16,Monitor Listen,Mobile,2023-06-10,Issued
23,16,Mobile Wife,Access Card,2023-10-28,Returned
24,16,Laptop Nation,Laptop,2024-03-26,Issued
25,17,Keyboard No,Access Card,2025-02-23,Returned
26,18,Keyboard Responsibility,Access Card,2023-12-23,Lost
27,19,Mouse Type,Laptop,2022-12-04,Returned
28,20,Laptop Modern,Mouse,2024-07-17,Issued
29,21,Monitor Suddenly,Mac,2024-06-10,Issued
30,21,Mouse Keep,Laptop,2022-09-04,Issued
31,21,Access Card Thus,Mobile,2023-01-07,Returned
32,22,Laptop Mission,Laptop,2025-02-13,Issued
33,22,Mouse Wide,Mac,2023-05-20,Issued
34,22,Mouse Foreign,Keyboard,2022-06-29,Issued
35,23,Access Card Hospital,Mouse,2024-06-15,Lost
36,23,Monitor Fear,Monitor,2024-01-27,Issued
37,23,Mac Foot,Access Card,2025-01-24,Returned
38,24,Mac Memory,Access Card,2023-04-11,Lost
39,25,Mobile Appear,Monitor,2023-12-01,Issued
