attendance_id,empID,date,status
1,1,2024-12-01,Absent
2,2,2024-12-01,Half Day
3,3,2024-12-01,Half Day
4,4,2024-12-01,Present
5,5,2024-12-01,Present
6,6,2024-12-01,Leave
7,7,2024-12-01,Present
8,8,2024-12-01,Leave
9,9,2024-12-01,Half Day
10,10,2024-12-01,Present
11,11,2024-12-01,Half Day
12,12,2024-12-01,Leave
13,13,2024-12-01,Leave
14,14,2024-12-01,Present
15,15,2024-12-01,Present
16,16,2024-12-01,Present
17,17,2024-12-01,Present
18,18,2024-12-01,Present
19,19,2024-12-01,Half Day
20,20,2024-12-01,Present
21,21,2024-12-01,Half Day
22,22,2024-12-01,Half Day
23,23,2024-12-01,Half Day
24,24,2024-12-01,Leave
25,25,2024-12-01,Present
26,26,2024-12-01,Present
27,27,2024-12-01,Present
28,28,2024-12-01,Half Day
29,29,2024-12-01,Present
30,30,2024-12-01,Present
31,31,2024-12-01,Half Day
32,32,2024-12-01,Leave
33,33,2024-12-01,Present
34,34,2024-12-01,Present
35,35,2024-12-01,Absent
36,36,2024-12-01,Half Day
37,37,2024-12-01,Leave
38,38,2024-12-01,Present
39,39,2024-12-01,Half Day
40,40,2024-12-01,Present
41,41,2024-12-01,Present
42,42,2024-12-01,Half Day
43,43,2024-12-01,Present
44,44,2024-12-01,Absent
45,45,2024-12-01,Leave
46,46,2024-12-01,Leave
47,47,2024-12-01,Absent
48,48,2024-12-01,Leave
49,49,2024-12-01,Present
50,50,2024-12-01,Present
51,51,2024-12-01,Present
52,52,2024-12-01,Leave
53,53,2024-12-01,Present
54,54,2024-12-01,Present
55,55,2024-12-01,Present
56,56,2024-12-01,Half Day
57,57,2024-12-01,Half Day
58,58,2024-12-01,Leave
59,59,2024-12-01,Present
60,60,2024-12-01,Half Day
61,61,2024-12-01,Absent
62,62,2024-12-01,Leave
63,63,2024-12-01,Present
64,64,2024-12-01,Present
65,65,2024-12-01,Present
66,66,2024-12-01,Absent
67,67,2024-12-01,Present
68,68,2024-12-01,Leave
69,69,2024-12-01,Present
70,70,2024-12-01,Leave
71,71,2024-12-01,Leave
72,72,2024-12-01,Present
73,73,2024-12-01,Leave
74,74,2024-12-01,Present
75,75,2024-12-01,Leave
76,76,2024-12-01,Half Day
77,77,2024-12-01,Half Day
78,78,2024-12-01,Absent
79,79,2024-12-01,Present
80,80,2024-12-01,Present
81,81,2024-12-01,Present
82,82,2024-12-01,Present
83,83,2024-12-01,Absent
84,84,2024-12-01,Absent
85,85,2024-12-01,Half Day
86,86,2024-12-01,Leave
87,87,2024-12-01,Present
88,88,2024-12-01,Present
89,89,2024-12-01,Half Day
90,90,2024-12-01,Half Day
91,91,2024-12-01,Half Day
92,92,2024-12-01,Present
93,93,2024-12-01,Half Day
94,94,2024-12-01,Present
95,95,2024-12-01,Present
96,96,2024-12-01,Present
97,97,2024-12-01,Present
98,98,2024-12-01,Present
99,99,2024-12-01,Absent
100,100,2024-12-01,Leave
101,101,2024-12-01,Present
102,102,2024-12-01,Half Day
103,103,2024-12-01,Half Day
104,104,2024-12-01,Present
105,105,2024-12-01,Leave
106,106,2024-12-01,Half Day
107,107,2024-12-01,Leave
108,108,2024-12-01,Present
109,109,2024-12-01,Half Day
110,110,2024-12-01,Present
111,111,2024-12-01,Half Day
112,112,2024-12-01,Half Day
113,113,2024-12-01,Present
114,114,2024-12-01,Present
115,115,2024-12-01,Present
116,116,2024-12-01,Leave
117,117,2024-12-01,Half Day
118,118,2024-12-01,Present
119,119,2024-12-01,Leave
