asset_id,empID,asset_name,asset_type,purchase_date,status
1,1,Mac Effort,Mac,2024-09-04,Returned
2,1,Mac There,Laptop,2024-11-22,Lost
3,1,Laptop Heart,Laptop,2024-01-17,Issued
4,3,Access Card Vote,Mouse,2024-03-07,Lost
5,3,Laptop Organization,Mobile,2024-06-10,Issued
6,4,Mobile Board,Access Card,2023-08-14,Lost
7,4,Monitor Market,Keyboard,2024-12-20,Issued
8,5,Mac Must,Keyboard,2023-02-11,Issued
9,6,Laptop Charge,Keyboard,2024-12-21,Issued
10,6,Access Card Audience,Mouse,2025-05-13,Lost
11,6,Mouse Mission,Mac,2024-04-30,Lost
12,8,Monitor Student,Laptop,2023-04-07,Issued
13,8,Keyboard Party,Monitor,2024-05-18,Lost
14,8,Keyboard Future,Monitor,2024-12-05,Lost
15,9,Access Card State,Monitor,2022-10-10,Returned
16,10,Access Card Start,Monitor,2023-08-31,Returned
17,10,Access Card Figure,Keyboard,2023-08-23,Issued
18,10,Mac Artist,Laptop,2025-01-10,Lost
19,12,Access Card Hit,Mac,2023-03-31,Returned
20,12,Laptop Base,Mobile,2024-05-16,Issued
21,14,Mobile Song,Keyboard,2024-01-11,Lost
22,14,Keyboard Administration,Laptop,2023-07-06,Issued
23,14,Mouse Pay,Monitor,2022-08-22,Lost
24,15,Monitor Brother,Monitor,2023-10-25,Issued
25,15,Mac Necessary,Laptop,2025-02-21,Returned
26,16,Mouse Challenge,Access Card,2023-02-09,Lost
27,16,Monitor Natural,Access Card,2024-09-01,Issued
28,16,Laptop Why,Mobile,2022-09-11,Lost
29,17,Laptop Ball,Access Card,2024-03-04,Lost
30,17,Mouse Debate,Access Card,2023-07-02,Lost
31,17,Monitor Start,Mouse,2022-06-19,Issued
32,18,Keyboard Western,Mobile,2022-10-20,Issued
33,18,Mobile Home,Mobile,2024-01-25,Lost
34,18,Keyboard Final,Mouse,2024-08-09,Lost
35,19,Access Card What,Mouse,2023-11-12,Issued
36,20,Access Card Inside,Mac,2023-01-11,Lost
37,21,Mobile Both,Mobile,2023-01-08,Issued
38,22,Keyboard According,Access Card,2024-08-16,Lost
39,23,Mouse Plan,Mac,2024-10-06,Issued
40,25,Keyboard Not,Mobile,2023-12-21,Issued
41,25,Keyboard Simply,Mac,2022-08-03,Issued
42,26,Mobile Able,Keyboard,2025-04-11,Returned
43,26,Mobile Environment,Mac,2023-05-20,Issued
44,27,Mobile Will,Laptop,2025-02-14,Lost
45,29,Laptop For,Mouse,2022-09-25,Returned
46,29,Mobile Station,Mobile,2024-11-27,Returned
47,30,Monitor Doctor,Mouse,2024-03-27,Lost
48,30,Monitor Interesting,Access Card,2025-01-12,Returned
49,31,Laptop Relate,Keyboard,2024-11-22,Issued
50,32,Access Card Man,Mac,2023-07-21,Lost
51,32,Mac Girl,Laptop,2025-05-08,Issued
52,33,Mobile Live,Laptop,2024-04-20,Returned
53,35,Mobile Citizen,Access Card,2023-04-09,Lost
54,38,Monitor Too,Laptop,2022-06-08,Issued
55,38,Mouse Size,Mouse,2025-01-01,Returned
56,39,Access Card Young,Access Card,2025-04-30,Issued
57,39,Mobile More,Keyboard,2025-05-31,Returned
58,39,Laptop Understand,Mouse,2024-11-08,Lost
59,41,Access Card Factor,Keyboard,2024-02-08,Lost
60,41,Keyboard However,Mouse,2023-09-25,Returned
61,41,Access Card Agree,Mouse,2022-10-14,Returned
62,42,Mouse Guess,Mouse,2023-11-07,Issued
63,42,Mouse Know,Mac,2024-01-24,Lost
64,43,Monitor Stop,Monitor,2024-04-14,Issued
65,43,Mobile Teach,Mouse,2022-07-30,Issued
66,43,Keyboard He,Mouse,2023-12-25,Returned
67,45,Keyboard Democrat,Keyboard,2022-09-07,Issued
68,46,Mobile Central,Mobile,2022-07-07,Issued
69,46,Laptop Simple,Keyboard,2023-09-24,Lost
70,46,Mac Voice,Mouse,2025-04-18,Issued
71,48,Mac North,Monitor,2024-12-17,Returned
72,49,Monitor Western,Mouse,2022-08-19,Lost
73,49,Access Card Form,Laptop,2022-09-12,Lost
74,50,Mac Fly,Keyboard,2024-04-19,Lost
75,50,Mobile Today,Mouse,2024-11-04,Issued
76,51,Access Card Agency,Keyboard,2023-03-02,Issued
77,52,Laptop When,Laptop,2025-01-24,Issued
78,52,Mobile Number,Mobile,2024-08-14,Returned
79,53,Laptop Successful,Keyboard,2023-11-26,Returned
80,53,Access Card Between,Monitor,2022-09-15,Issued
81,54,Monitor Team,Laptop,2023-06-13,Issued
82,54,Mac Ready,Mobile,2024-06-16,Returned
83,54,Access Card Agency,Mobile,2024-11-02,Issued
84,55,Laptop Seat,Mouse,2022-08-27,Issued
85,56,Access Card Only,Laptop,2023-04-14,Lost
86,56,Mouse Training,Access Card,2023-08-18,Issued
87,56,Mobile Write,Mobile,2025-05-16,Returned
88,58,Laptop Though,Mac,2023-07-09,Issued
89,59,Mouse Already,Access Card,2024-03-05,Returned
90,61,Laptop Believe,Mouse,2025-01-21,Returned
91,62,Mobile First,Mobile,2023-11-29,Issued
92,63,Keyboard Research,Keyboard,2024-07-08,Lost
93,64,Mobile Happy,Mac,2025-01-31,Lost
94,64,Laptop Throughout,Access Card,2024-11-23,Issued
95,65,Mobile Almost,Monitor,2024-03-09,Returned
96,65,Mac Operation,Monitor,2024-03-01,Lost
97,66,Mobile Industry,Laptop,2024-11-01,Lost
98,66,Keyboard Relationship,Keyboard,2023-12-18,Returned
99,66,Mobile Economic,Keyboard,2024-08-10,Issued
100,67,Access Card Least,Keyboard,2024-03-27,Issued
101,67,Mac Less,Mobile,2025-01-07,Issued
102,69,Keyboard Something,Laptop,2023-11-14,Issued
103,69,Monitor Choice,Mobile,2024-02-13,Lost
104,69,Mac Artist,Mac,2023-10-27,Issued
105,70,Mac Also,Access Card,2024-06-19,Returned
106,72,Access Card Store,Laptop,2023-01-21,Lost
107,72,Mouse Culture,Keyboard,2024-06-16,Issued
108,72,Laptop Bit,Monitor,2024-07-22,Issued
109,73,Access Card Middle,Access Card,2024-08-03,Issued
110,73,Mac Above,Mouse,2023-11-10,Lost
111,74,Mac All,Monitor,2025-03-09,Returned
112,75,Mac Appear,Keyboard,2025-05-22,Issued
113,75,Keyboard Evidence,Monitor,2022-10-28,Issued
114,76,Monitor Occur,Laptop,2025-03-02,Lost
115,78,Mobile Else,Mac,2024-09-12,Returned
116,78,Keyboard Relationship,Mobile,2023-11-25,Lost
117,78,Laptop Pass,Access Card,2024-12-18,Lost
118,79,Keyboard Man,Mobile,2024-07-21,Issued
119,79,Monitor Leave,Access Card,2025-04-27,Lost
120,79,Keyboard Side,Mouse,2024-11-30,Lost
121,82,Keyboard Lawyer,Mac,2024-03-28,Issued
122,84,Keyboard Mother,Keyboard,2024-02-01,Issued
123,85,Access Card Or,Mac,2025-01-03,Lost
124,85,Mouse Stock,Access Card,2024-01-14,Issued
125,85,Mouse Network,Access Card,2025-03-31,Returned
126,87,Mac Executive,Mouse,2024-01-10,Lost
127,87,Monitor Professor,Keyboard,2024-01-19,Lost
128,88,Mac Happy,Monitor,2023-09-01,Issued
129,88,Monitor Course,Laptop,2022-11-19,Lost
130,88,Keyboard Street,Mobile,2024-04-22,Returned
131,89,Access Card From,Mac,2023-10-24,Lost
132,89,Laptop Officer,Keyboard,2024-03-23,Lost
133,91,Monitor Machine,Keyboard,2024-05-22,Returned
134,92,Mobile Off,Monitor,2022-10-02,Lost
135,93,Mac Nor,Access Card,2024-04-14,Lost
136,93,Laptop Nearly,Monitor,2024-08-21,Issued
137,94,Laptop Thousand,Mouse,2024-02-04,Lost
138,94,Mac Interesting,Mouse,2023-09-22,Returned
139,94,Monitor Indeed,Keyboard,2023-05-08,Lost
140,95,Mouse Into,Access Card,2025-05-06,Returned
141,95,Laptop True,Mouse,2023-03-10,Issued
142,95,Mac Executive,Access Card,2023-04-14,Returned
143,97,Mobile Same,Access Card,2024-05-22,Lost
144,97,Mac Scientist,Laptop,2024-06-24,Lost
145,98,Access Card Town,Laptop,2023-04-29,Returned
146,98,Laptop Responsibility,Keyboard,2024-12-29,Issued
147,98,Monitor Claim,Access Card,2024-11-13,Lost
148,101,Access Card Grow,Mouse,2023-02-16,Issued
149,101,Laptop Management,Monitor,2022-09-11,Lost
150,102,Mac List,Mobile,2022-10-05,Returned
