benefit_id,empID,benefit_name,benefit_value
1,1,Transport Allowance,$1442
2,4,Paid Vacation,$143
3,4,Paid Vacation,$779
4,6,Gym Membership,$1311
5,6,Stock Options,68 units
6,6,Gym Membership,$529
7,7,Gym Membership,$890
8,7,Paid Vacation,$902
9,8,Gym Membership,$1441
10,8,Transport Allowance,$437
11,9,Gym Membership,$1763
12,9,Stock Options,44 units
13,10,Transport Allowance,$1080
14,10,Stock Options,77 units
15,10,Transport Allowance,$805
16,11,Stock Options,40 units
17,12,Transport Allowance,$1990
18,13,Transport Allowance,$571
19,13,Transport Allowance,$207
20,14,Stock Options,6 units
21,14,Transport Allowance,$1414
22,14,Paid Vacation,$596
23,17,Paid Vacation,$1931
24,17,Transport Allowance,$1712
25,18,Stock Options,32 units
26,19,Gym Membership,$1816
27,19,Health Insurance,$1728
28,19,Paid Vacation,$1444
29,20,Transport Allowance,$1624
30,21,Health Insurance,$485
31,22,Stock Options,20 units
32,23,Stock Options,91 units
33,25,Health Insurance,$1779
34,25,Stock Options,79 units
35,25,Gym Membership,$374
36,28,Paid Vacation,$1557
37,28,Paid Vacation,$494
38,28,Transport Allowance,$1523
39,29,Paid Vacation,$661
40,29,Paid Vacation,$152
41,29,Health Insurance,$1303
42,30,Transport Allowance,$1641
43,30,Stock Options,1 units
44,31,Gym Membership,$1839
45,32,Transport Allowance,$1936
46,34,Transport Allowance,$793
47,34,Gym Membership,$861
48,36,Transport Allowance,$1567
49,36,Paid Vacation,$1739
50,37,Transport Allowance,$1843
51,37,Gym Membership,$656
52,37,Health Insurance,$365
53,38,Stock Options,36 units
54,39,Transport Allowance,$299
55,39,Paid Vacation,$934
56,39,Transport Allowance,$1171
57,40,Paid Vacation,$1348
58,40,Gym Membership,$834
59,42,Stock Options,22 units
60,43,Transport Allowance,$1512
61,43,Paid Vacation,$1949
62,43,Gym Membership,$1187
63,44,Gym Membership,$107
64,46,Paid Vacation,$605
65,46,Gym Membership,$982
66,46,Stock Options,56 units
67,47,Stock Options,61 units
68,48,Paid Vacation,$933
69,48,Stock Options,81 units
70,49,Paid Vacation,$1317
71,49,Paid Vacation,$1930
72,49,Health Insurance,$1620
73,50,Stock Options,67 units
74,51,Transport Allowance,$1254
75,51,Gym Membership,$628
76,52,Stock Options,47 units
77,52,Paid Vacation,$868
78,52,Health Insurance,$1970
79,53,Paid Vacation,$1428
80,55,Paid Vacation,$239
81,55,Gym Membership,$359
82,56,Transport Allowance,$401
83,56,Paid Vacation,$347
84,56,Gym Membership,$1695
85,57,Paid Vacation,$901
86,57,Health Insurance,$1068
87,58,Stock Options,8 units
88,58,Stock Options,43 units
89,58,Paid Vacation,$682
90,59,Transport Allowance,$1277
91,59,Paid Vacation,$1839
92,59,Gym Membership,$1716
93,62,Transport Allowance,$776
94,62,Gym Membership,$967
95,63,Stock Options,82 units
96,65,Stock Options,83 units
97,65,Stock Options,61 units
98,66,Health Insurance,$586
99,66,Health Insurance,$343
100,67,Health Insurance,$1880
101,67,Transport Allowance,$247
102,68,Paid Vacation,$1622
103,68,Stock Options,59 units
104,70,Gym Membership,$974
105,70,Gym Membership,$114
106,72,Transport Allowance,$1899
107,74,Gym Membership,$1894
108,74,Transport Allowance,$1929
109,74,Stock Options,67 units
110,75,Stock Options,29 units
111,78,Paid Vacation,$882
112,78,Paid Vacation,$670
113,78,Stock Options,10 units
114,79,Paid Vacation,$1597
115,79,Transport Allowance,$679
116,81,Health Insurance,$1889
117,81,Paid Vacation,$1200
118,81,Health Insurance,$1237
119,84,Gym Membership,$1762
120,84,Health Insurance,$1063
121,84,Gym Membership,$1892
122,86,Stock Options,64 units
123,87,Transport Allowance,$455
124,87,Stock Options,72 units
125,87,Transport Allowance,$840
126,89,Stock Options,26 units
127,89,Paid Vacation,$1427
128,89,Transport Allowance,$669
129,91,Transport Allowance,$848
130,91,Transport Allowance,$409
131,91,Paid Vacation,$1251
132,92,Transport Allowance,$494
133,92,Transport Allowance,$1616
134,92,Stock Options,33 units
135,93,Health Insurance,$406
136,93,Transport Allowance,$1414
137,93,Gym Membership,$940
138,97,Health Insurance,$1152
139,97,Health Insurance,$207
140,100,Transport Allowance,$1315
141,101,Health Insurance,$1251
142,101,Stock Options,14 units
143,101,Paid Vacation,$1416
144,102,Transport Allowance,$1942
145,102,Transport Allowance,$1344
146,102,Stock Options,51 units
147,103,Stock Options,44 units
148,104,Health Insurance,$296
149,104,Gym Membership,$1815
150,104,Paid Vacation,$287
151,105,Paid Vacation,$1436
152,106,Gym Membership,$1658
153,106,Transport Allowance,$1761
154,106,Paid Vacation,$419
155,107,Paid Vacation,$1743
156,108,Paid Vacation,$1165
157,108,Gym Membership,$280
158,108,Transport Allowance,$1774
159,109,Transport Allowance,$100
160,109,Gym Membership,$735
161,110,Paid Vacation,$905
162,110,Health Insurance,$1095
163,110,Transport Allowance,$1607
164,111,Paid Vacation,$402
165,112,Transport Allowance,$484
166,113,Health Insurance,$266
167,113,Paid Vacation,$1147
168,113,Health Insurance,$1739
169,114,Health Insurance,$1318
170,114,Health Insurance,$1398
171,114,Paid Vacation,$986
172,115,Transport Allowance,$639
173,115,Gym Membership,$825
174,115,Paid Vacation,$1556
175,118,Gym Membership,$620
176,118,Transport Allowance,$1422
177,121,Transport Allowance,$121
178,123,Health Insurance,$527
179,124,Transport Allowance,$1069
180,124,Health Insurance,$1158
181,124,Gym Membership,$125
182,125,Transport Allowance,$1090
183,125,Stock Options,57 units
184,125,Stock Options,76 units
185,126,Gym Membership,$1629
186,126,Transport Allowance,$675
187,126,Paid Vacation,$1717
188,127,Paid Vacation,$1803
189,127,Paid Vacation,$1872
190,127,Stock Options,76 units
191,128,Gym Membership,$1409
192,128,Paid Vacation,$923
193,128,Health Insurance,$378
194,129,Transport Allowance,$992
195,129,Stock Options,15 units
196,130,Gym Membership,$1815
197,133,Transport Allowance,$430
198,134,Paid Vacation,$1010
199,134,Health Insurance,$1583
200,134,Stock Options,66 units
201,135,Gym Membership,$1838
202,136,Health Insurance,$203
203,136,Health Insurance,$1426
204,136,Stock Options,49 units
205,138,Stock Options,18 units
206,138,Stock Options,78 units
207,139,Stock Options,38 units
208,139,Health Insurance,$478
209,140,Paid Vacation,$625
210,140,Paid Vacation,$1628
211,140,Paid Vacation,$1421
212,143,Gym Membership,$1982
213,144,Gym Membership,$1744
214,144,Paid Vacation,$1288
215,144,Paid Vacation,$1834
216,145,Transport Allowance,$937
217,145,Health Insurance,$1310
218,146,Paid Vacation,$1644
219,146,Stock Options,77 units
220,148,Health Insurance,$363
221,148,Transport Allowance,$1307
222,149,Transport Allowance,$1347
223,149,Gym Membership,$731
224,150,Transport Allowance,$625
225,151,Gym Membership,$1169
226,151,Transport Allowance,$584
227,151,Stock Options,29 units
228,152,Gym Membership,$1940
229,154,Stock Options,100 units
230,154,Paid Vacation,$826
231,154,Paid Vacation,$611
232,155,Gym Membership,$1939
233,158,Transport Allowance,$1748
234,158,Health Insurance,$600
235,158,Paid Vacation,$1515
236,160,Stock Options,24 units
237,160,Paid Vacation,$419
238,160,Gym Membership,$1392
239,161,Gym Membership,$1818
240,161,Transport Allowance,$1270
241,162,Health Insurance,$1657
242,163,Stock Options,19 units
243,163,Stock Options,88 units
244,163,Transport Allowance,$172
245,165,Gym Membership,$757
246,165,Paid Vacation,$543
247,165,Gym Membership,$1785
248,168,Gym Membership,$1220
249,169,Stock Options,73 units
250,169,Paid Vacation,$1955
251,169,Transport Allowance,$194
252,170,Health Insurance,$696
253,170,Transport Allowance,$1650
254,170,Transport Allowance,$1139
255,171,Health Insurance,$1819
256,171,Transport Allowance,$1896
257,171,Paid Vacation,$1234
258,174,Gym Membership,$1121
259,174,Health Insurance,$1699
260,174,Transport Allowance,$1606
261,175,Health Insurance,$289
262,176,Paid Vacation,$109
263,177,Transport Allowance,$1462
264,178,Gym Membership,$1887
265,178,Health Insurance,$1012
266,178,Transport Allowance,$1753
267,179,Transport Allowance,$789
268,179,Transport Allowance,$1550
269,179,Paid Vacation,$1030
270,180,Paid Vacation,$991
271,180,Stock Options,3 units
272,181,Transport Allowance,$726
273,182,Gym Membership,$1068
274,182,Transport Allowance,$441
275,183,Paid Vacation,$1504
276,184,Health Insurance,$171
277,185,Gym Membership,$1550
278,185,Stock Options,54 units
279,185,Transport Allowance,$487
280,186,Stock Options,18 units
281,186,Health Insurance,$440
282,186,Health Insurance,$180
283,187,Transport Allowance,$1319
284,187,Gym Membership,$425
285,188,Stock Options,15 units
286,188,Stock Options,35 units
287,188,Gym Membership,$1017
288,189,Health Insurance,$1079
289,189,Gym Membership,$1067
290,189,Gym Membership,$1952
291,190,Gym Membership,$717
292,193,Stock Options,83 units
293,193,Stock Options,78 units
294,195,Stock Options,80 units
295,195,Stock Options,92 units
296,196,Transport Allowance,$1943
297,197,Health Insurance,$1237
298,197,Health Insurance,$1170
299,197,Transport Allowance,$1462
300,198,Stock Options,27 units
301,198,Transport Allowance,$371
302,198,Health Insurance,$112
303,200,Gym Membership,$1457
304,200,Gym Membership,$1873
305,200,Paid Vacation,$1391
306,201,Stock Options,57 units
307,201,Health Insurance,$972
308,202,Stock Options,63 units
309,202,Gym Membership,$1635
310,202,Transport Allowance,$1079
311,203,Transport Allowance,$1965
312,203,Paid Vacation,$944
313,204,Stock Options,97 units
314,204,Transport Allowance,$843
315,204,Transport Allowance,$101
316,205,Health Insurance,$1525
317,205,Gym Membership,$1418
318,205,Paid Vacation,$1930
319,206,Health Insurance,$674
320,206,Gym Membership,$624
321,208,Paid Vacation,$1062
322,209,Gym Membership,$728
323,209,Transport Allowance,$1414
324,209,Health Insurance,$1129
325,210,Transport Allowance,$640
326,210,Transport Allowance,$1815
327,210,Health Insurance,$1119
328,213,Transport Allowance,$1341
329,214,Gym Membership,$659
330,216,Stock Options,59 units
331,216,Transport Allowance,$1081
332,218,Stock Options,64 units
333,218,Health Insurance,$1210
334,218,Stock Options,58 units
335,219,Transport Allowance,$1699
336,222,Gym Membership,$1461
337,222,Paid Vacation,$1052
338,222,Stock Options,69 units
339,223,Paid Vacation,$505
340,223,Gym Membership,$1161
341,223,Transport Allowance,$1284
342,224,Stock Options,65 units
343,224,Health Insurance,$127
344,224,Paid Vacation,$487
345,226,Gym Membership,$103
346,227,Health Insurance,$734
347,227,Gym Membership,$956
348,228,Health Insurance,$891
349,228,Gym Membership,$1571
350,231,Gym Membership,$764
351,231,Paid Vacation,$1259
352,231,Gym Membership,$1049
353,233,Paid Vacation,$645
354,235,Health Insurance,$439
355,236,Paid Vacation,$1488
356,238,Health Insurance,$1672
357,238,Gym Membership,$1036
358,238,Gym Membership,$1498
359,239,Health Insurance,$1411
360,239,Paid Vacation,$1842
361,240,Gym Membership,$826
362,240,Gym Membership,$1473
363,242,Stock Options,81 units
364,242,Stock Options,89 units
365,242,Stock Options,79 units
366,243,Transport Allowance,$814
367,243,Health Insurance,$1267
368,243,Health Insurance,$944
369,244,Transport Allowance,$822
370,244,Stock Options,48 units
371,245,Paid Vacation,$641
372,246,Stock Options,37 units
373,246,Gym Membership,$1237
374,246,Transport Allowance,$991
375,247,Gym Membership,$255
376,247,Gym Membership,$1450
377,250,Gym Membership,$288
378,251,Stock Options,3 units
379,251,Stock Options,32 units
380,251,Transport Allowance,$590
381,253,Paid Vacation,$1092
382,254,Paid Vacation,$1832
383,254,Paid Vacation,$137
384,254,Transport Allowance,$680
385,255,Paid Vacation,$492
386,256,Paid Vacation,$1419
387,256,Paid Vacation,$989
388,256,Health Insurance,$724
389,257,Transport Allowance,$242
390,257,Transport Allowance,$639
391,257,Gym Membership,$263
392,259,Stock Options,46 units
393,260,Paid Vacation,$1966
394,260,Gym Membership,$1207
395,260,Paid Vacation,$671
396,261,Transport Allowance,$1506
397,261,Paid Vacation,$1143
398,262,Paid Vacation,$190
399,262,Paid Vacation,$279
400,263,Gym Membership,$545
401,263,Paid Vacation,$1824
402,264,Health Insurance,$1461
403,264,Health Insurance,$1333
404,264,Stock Options,38 units
405,265,Health Insurance,$1488
406,265,Transport Allowance,$637
407,266,Gym Membership,$435
408,267,Health Insurance,$108
409,270,Paid Vacation,$1347
410,271,Health Insurance,$589
411,272,Health Insurance,$1792
412,272,Health Insurance,$1886
413,272,Paid Vacation,$598
414,276,Gym Membership,$1343
415,276,Paid Vacation,$205
416,276,Gym Membership,$483
417,277,Paid Vacation,$1987
418,277,Transport Allowance,$130
419,278,Stock Options,44 units
420,278,Paid Vacation,$1225
421,279,Health Insurance,$767
422,279,Paid Vacation,$911
423,279,Transport Allowance,$1365
424,280,Health Insurance,$1785
425,280,Paid Vacation,$597
426,280,Stock Options,54 units
427,281,Gym Membership,$135
428,281,Paid Vacation,$1671
429,282,Paid Vacation,$993
430,282,Paid Vacation,$1078
431,282,Health Insurance,$1675
432,283,Paid Vacation,$830
433,283,Paid Vacation,$245
434,284,Health Insurance,$1063
435,284,Paid Vacation,$123
436,284,Transport Allowance,$1827
437,287,Paid Vacation,$147
438,288,Stock Options,20 units
439,290,Transport Allowance,$337
440,291,Stock Options,32 units
441,291,Paid Vacation,$466
442,291,Stock Options,47 units
443,292,Gym Membership,$341
444,292,Paid Vacation,$1817
445,293,Health Insurance,$1581
446,293,Stock Options,19 units
447,293,Health Insurance,$116
448,294,Health Insurance,$1990
449,294,Health Insurance,$708
450,295,Paid Vacation,$323
451,296,Stock Options,93 units
452,296,Paid Vacation,$707
453,297,Paid Vacation,$1370
454,297,Transport Allowance,$1240
455,298,Stock Options,35 units
456,299,Transport Allowance,$1814
457,299,Gym Membership,$1936
458,302,Stock Options,15 units
459,302,Stock Options,85 units
460,303,Paid Vacation,$1131
461,303,Transport Allowance,$458
462,304,Gym Membership,$1422
463,304,Stock Options,13 units
464,305,Transport Allowance,$1191
465,305,Paid Vacation,$613
466,305,Paid Vacation,$1042
467,306,Stock Options,65 units
468,308,Paid Vacation,$733
469,308,Stock Options,93 units
470,309,Gym Membership,$1912
471,311,Health Insurance,$689
472,311,Health Insurance,$527
473,313,Paid Vacation,$390
474,313,Stock Options,66 units
475,314,Paid Vacation,$347
476,314,Paid Vacation,$1238
477,315,Paid Vacation,$921
478,317,Stock Options,4 units
479,318,Transport Allowance,$911
480,318,Paid Vacation,$1068
481,318,Transport Allowance,$1388
482,319,Health Insurance,$814
483,320,Paid Vacation,$316
484,320,Health Insurance,$1229
485,321,Gym Membership,$294
486,321,Paid Vacation,$1911
487,321,Stock Options,61 units
488,322,Paid Vacation,$670
489,322,Stock Options,36 units
490,323,Stock Options,57 units
491,323,Transport Allowance,$1107
492,323,Gym Membership,$386
493,324,Gym Membership,$161
494,324,Paid Vacation,$1985
495,325,Gym Membership,$1322
496,325,Paid Vacation,$1081
497,325,Stock Options,33 units
498,327,Transport Allowance,$1076
