empID,project_id,role_in_project,assigned_date
1,5643,Executive,2023-08-12
1,21670,Lead,2024-08-25
2,216,Manager,2024-03-11
2,3305,Executive,2023-09-25
2,21494,Developer,2025-02-21
3,2471,Analyst,2024-09-25
3,5498,Analyst,2024-07-16
4,9065,Analyst,2025-04-08
5,14353,Lead,2025-03-27
5,14478,Developer,2023-08-31
5,18035,Manager,2023-12-27
5,20365,Executive,2025-05-20
5,22176,Lead,2024-07-15
6,4289,Executive,2024-11-03
6,9545,Developer,2024-08-23
6,13511,Manager,2023-12-13
6,14667,Developer,2025-02-12
6,20936,Executive,2024-12-28
7,2125,Analyst,2024-09-22
7,10707,Analyst,2023-12-21
7,18195,Developer,2024-07-23
8,2090,Lead,2023-09-28
8,13124,Developer,2024-03-17
8,18248,Manager,2023-12-14
8,20580,Manager,2023-08-06
8,23741,Manager,2023-09-16
9,4987,Developer,2023-11-13
9,12858,Developer,2023-12-03
9,21202,Executive,2024-01-04
10,8453,Developer,2023-09-01
10,8547,Executive,2025-02-12
11,5188,Executive,2025-02-19
11,10007,Manager,2024-08-28
11,19199,Analyst,2023-11-05
12,11785,Analyst,2025-02-02
13,2338,Lead,2024-10-07
13,8356,Executive,2024-10-17
13,10244,Analyst,2024-09-09
13,11378,Manager,2025-02-20
13,22691,Analyst,2024-09-04
14,4145,Lead,2024-02-07
14,4388,Developer,2025-01-26
14,17360,Analyst,2025-05-10
14,23092,Manager,2024-10-31
15,7694,Developer,2024-08-07
15,16042,Analyst,2024-12-21
15,19543,Manager,2023-10-03
15,21047,Analyst,2024-07-07
16,2852,Analyst,2023-08-29
16,7271,Analyst,2023-06-04
16,14304,Developer,2023-12-03
17,654,Lead,2024-10-30
17,2070,Executive,2024-01-02
17,7445,Executive,2025-03-20
18,1533,Developer,2023-10-23
19,3523,Executive,2024-04-13
19,11180,Manager,2024-12-22
19,11945,Developer,2025-05-07
19,12602,Executive,2024-11-01
20,1684,Manager,2025-05-20
20,3067,Analyst,2024-08-12
20,10632,Developer,2024-01-29
20,17263,Executive,2023-11-29
21,420,Developer,2024-04-25
21,7825,Developer,2024-10-20
21,12269,Analyst,2024-10-17
21,13707,Executive,2023-10-17
21,19645,Executive,2024-11-12
22,10017,Manager,2023-11-22
23,8573,Manager,2023-11-16
23,17381,Lead,2025-04-15
23,19741,Executive,2023-06-16
24,232,Executive,2024-08-26
24,9209,Developer,2024-07-21
24,12931,Lead,2023-12-18
24,16746,Executive,2024-09-05
25,1453,Lead,2023-09-22
25,2824,Executive,2023-10-13
25,8840,Lead,2023-12-12
