leave_id,empID,leave_type,start_date,end_date,status
1,2,Paid,2025-01-03,2025-01-12,Pending
2,2,Paid,2025-01-10,2025-01-13,Rejected
3,2,Sick,2025-08-01,2025-08-05,Approved
4,2,Casual,2025-12-02,2025-12-06,Approved
5,3,Casual,2025-11-20,2025-11-28,Pending
6,3,Casual,2025-08-20,2025-08-26,Approved
7,4,Unpaid,2025-01-14,2025-01-21,Approved
8,5,Paid,2025-03-30,2025-04-08,Rejected
9,6,Unpaid,2025-04-13,2025-04-15,Pending
10,8,Sick,2025-03-27,2025-03-29,Rejected
11,8,Casual,2025-10-10,2025-10-17,Pending
12,8,Paid,2025-02-11,2025-02-21,Rejected
13,8,Sick,2025-02-22,2025-02-27,Rejected
14,10,Paid,2025-12-15,2025-12-25,Rejected
15,11,Unpaid,2025-03-11,2025-03-15,Rejected
16,12,Paid,2025-02-23,2025-03-02,Rejected
17,12,Sick,2025-06-25,2025-07-01,Rejected
18,12,Sick,2025-07-26,2025-07-30,Pending
19,14,Casual,2025-04-23,2025-04-27,Approved
20,16,Unpaid,2025-12-04,2025-12-05,Pending
21,16,Sick,2025-08-17,2025-08-23,Rejected
22,18,Sick,2025-06-10,2025-06-17,Approved
23,20,Sick,2025-05-19,2025-05-21,Approved
24,21,Sick,2025-09-20,2025-09-27,Rejected
25,21,Unpaid,2025-02-11,2025-02-14,Pending
26,22,Sick,2025-11-20,2025-11-23,Rejected
27,22,Paid,2025-05-16,2025-05-22,Approved
28,22,Unpaid,2025-04-10,2025-04-18,Approved
29,22,Paid,2025-09-14,2025-09-23,Approved
30,23,Unpaid,2025-11-17,2025-11-25,Rejected
31,23,Unpaid,2025-11-23,2025-11-27,Approved
32,24,Paid,2025-08-21,2025-08-22,Approved
33,24,Sick,2025-12-14,2025-12-21,Rejected
34,24,Unpaid,2025-04-05,2025-04-08,Rejected
35,25,Paid,2025-01-17,2025-01-18,Pending
36,25,Sick,2025-05-13,2025-05-21,Approved
37,26,Unpaid,2025-10-26,2025-10-29,Pending
38,26,Unpaid,2025-08-25,2025-08-29,Rejected
39,26,Sick,2025-04-09,2025-04-11,Rejected
40,26,Unpaid,2025-01-30,2025-02-09,Approved
41,28,Unpaid,2025-04-17,2025-04-20,Pending
42,28,Casual,2025-06-01,2025-06-03,Approved
43,28,Paid,2025-09-10,2025-09-19,Rejected
44,28,Paid,2025-04-26,2025-05-03,Pending
45,29,Sick,2025-07-24,2025-07-25,Rejected
46,29,Unpaid,2025-04-23,2025-04-27,Approved
47,29,Unpaid,2025-06-13,2025-06-17,Approved
48,30,Sick,2025-07-02,2025-07-11,Pending
49,30,Casual,2025-06-25,2025-06-26,Rejected
50,31,Unpaid,2025-02-15,2025-02-21,Approved
51,31,Casual,2025-06-14,2025-06-22,Rejected
52,33,Sick,2025-03-26,2025-03-28,Pending
53,34,Paid,2025-08-18,2025-08-24,Approved
