benefit_id,empID,benefit_name,benefit_value
1,1,Paid Vacation,$1580
2,1,Paid Vacation,$883
3,2,Gym Membership,$1491
4,2,Health Insurance,$856
5,2,Health Insurance,$165
6,3,Health Insurance,$1458
7,5,Stock Options,73 units
8,5,Transport Allowance,$492
9,6,Gym Membership,$1530
10,6,Stock Options,69 units
11,6,Health Insurance,$767
12,7,Stock Options,6 units
13,8,Health Insurance,$832
14,8,Paid Vacation,$227
15,9,Stock Options,92 units
16,9,Transport Allowance,$1858
17,9,Transport Allowance,$499
18,10,Health Insurance,$651
19,10,Stock Options,91 units
20,10,Stock Options,56 units
21,13,Gym Membership,$1450
22,14,Paid Vacation,$134
23,15,Transport Allowance,$812
24,15,Transport Allowance,$685
25,15,Health Insurance,$1101
26,16,Stock Options,77 units
27,16,Paid Vacation,$208
28,16,Transport Allowance,$1825
29,17,Stock Options,49 units
30,17,Stock Options,48 units
31,19,Stock Options,79 units
32,19,Stock Options,13 units
33,19,Health Insurance,$1678
34,20,Health Insurance,$681
35,20,Gym Membership,$1099
36,20,Stock Options,99 units
37,22,Paid Vacation,$923
38,22,Stock Options,98 units
39,23,Transport Allowance,$1284
40,23,Stock Options,50 units
41,23,Paid Vacation,$1719
42,26,Paid Vacation,$1226
43,26,Stock Options,3 units
44,26,Stock Options,2 units
45,28,Gym Membership,$1315
46,28,Transport Allowance,$1908
47,28,Gym Membership,$1929
48,29,Stock Options,31 units
49,31,Gym Membership,$679
50,34,Health Insurance,$1015
51,36,Transport Allowance,$249
52,36,Health Insurance,$779
53,38,Stock Options,90 units
54,38,Transport Allowance,$179
55,38,Transport Allowance,$853
56,40,Stock Options,81 units
57,41,Gym Membership,$772
58,41,Transport Allowance,$1651
59,41,Stock Options,9 units
60,42,Stock Options,78 units
61,42,Paid Vacation,$1786
62,43,Health Insurance,$1635
63,44,Transport Allowance,$1801
64,45,Gym Membership,$454
65,45,Paid Vacation,$587
66,45,Gym Membership,$832
67,46,Health Insurance,$1378
68,46,Gym Membership,$1062
69,47,Health Insurance,$1895
70,48,Health Insurance,$446
71,48,Health Insurance,$1350
72,48,Health Insurance,$411
73,49,Stock Options,58 units
74,51,Stock Options,96 units
75,51,Paid Vacation,$442
76,52,Gym Membership,$1763
77,52,Transport Allowance,$1772
78,55,Health Insurance,$1349
79,55,Gym Membership,$240
80,56,Stock Options,57 units
81,56,Transport Allowance,$1314
82,56,Paid Vacation,$1252
83,57,Stock Options,46 units
84,57,Paid Vacation,$356
85,58,Health Insurance,$1103
86,58,Paid Vacation,$1510
87,59,Transport Allowance,$326
88,60,Paid Vacation,$733
89,60,Health Insurance,$1762
90,60,Gym Membership,$1431
91,61,Stock Options,65 units
92,61,Gym Membership,$336
93,61,Paid Vacation,$1604
94,62,Gym Membership,$777
