empID,project_id,role_in_project,assigned_date
1,14906,Developer,2023-09-07
1,17131,Lead,2023-11-05
2,4175,Executive,2023-11-05
2,6030,Lead,2025-04-19
2,10862,Manager,2023-11-22
2,18390,Manager,2023-08-24
3,9759,Analyst,2023-08-26
3,12812,Executive,2023-09-06
3,14730,Developer,2024-04-10
4,2721,Manager,2025-01-21
4,15473,Lead,2023-11-21
4,23206,Lead,2023-11-19
5,6685,Executive,2025-05-23
5,15970,Lead,2024-05-17
5,21369,Developer,2023-08-13
6,15647,Developer,2023-12-30
6,16110,Developer,2024-11-05
6,17076,Analyst,2024-06-10
6,21596,Lead,2025-05-11
7,5801,Developer,2025-01-21
7,8484,Executive,2025-02-23
7,13992,Executive,2024-06-21
7,17752,Lead,2024-09-24
8,14966,Developer,2023-07-31
8,22764,Lead,2025-05-10
9,4978,Analyst,2025-03-08
9,17808,Manager,2024-08-17
10,5559,Manager,2024-09-03
10,6155,Manager,2024-07-21
10,9172,Executive,2024-10-20
10,15002,Executive,2023-10-26
10,21992,Developer,2024-07-06
11,1740,Manager,2024-03-29
11,9266,Analyst,2023-11-26
11,18305,Executive,2025-01-08
11,19317,Lead,2024-01-12
11,24908,Manager,2025-05-01
12,11430,Lead,2024-07-15
13,58,Manager,2023-05-27
13,3553,Executive,2025-05-19
13,20938,Lead,2023-12-12
14,18364,Developer,2023-06-14
15,725,Developer,2023-10-04
15,5771,Lead,2023-09-14
15,17931,Manager,2024-12-12
15,18341,Lead,2025-02-14
16,5777,Executive,2025-04-27
17,11303,Developer,2024-01-27
17,17404,Developer,2024-04-19
18,6371,Manager,2024-02-02
18,8714,Developer,2023-10-23
18,11216,Lead,2024-04-27
18,12360,Lead,2024-09-23
18,18471,Manager,2024-10-30
19,5196,Analyst,2024-04-19
19,10205,Executive,2024-11-08
19,18417,Analyst,2024-12-01
19,20901,Manager,2024-01-25
19,23231,Lead,2024-08-09
20,7305,Developer,2025-04-30
20,7583,Analyst,2024-07-04
21,721,Executive,2023-11-04
21,10092,Manager,2024-11-14
21,12517,Executive,2024-12-23
21,14641,Executive,2023-09-26
21,14664,Manager,2025-02-27
22,332,Manager,2023-06-26
22,10423,Developer,2023-07-17
22,13719,Lead,2023-12-27
22,23547,Executive,2024-12-18
23,8844,Analyst,2024-05-17
23,9412,Executive,2024-07-12
23,12150,Manager,2024-03-26
23,15834,Executive,2024-02-02
24,4952,Executive,2024-02-04
24,12230,Analyst,2024-08-19
25,2220,Analyst,2023-07-03
25,12634,Manager,2024-04-11
25,15442,Analyst,2023-11-25
25,19446,Executive,2023-07-12
26,15236,Developer,2023-07-01
27,1031,Executive,2024-02-04
27,6043,Lead,2023-10-10
28,9259,Lead,2025-04-23
28,10035,Executive,2024-01-10
28,14138,Lead,2025-03-16
28,19076,Executive,2023-07-22
28,22582,Manager,2023-09-29
29,608,Executive,2025-01-22
29,11448,Lead,2025-01-16
29,13552,Developer,2025-01-07
29,23979,Analyst,2023-06-30
30,7835,Executive,2023-08-01
30,8206,Analyst,2024-09-29
30,18709,Developer,2024-02-08
31,1582,Manager,2023-10-04
31,8021,Manager,2024-11-30
31,13208,Manager,2024-04-29
32,6827,Developer,2023-09-17
32,11787,Analyst,2023-08-17
32,14172,Analyst,2025-01-01
32,18702,Lead,2024-05-07
33,1241,Developer,2024-09-19
33,3313,Developer,2023-08-17
33,17090,Lead,2024-02-06
33,18560,Developer,2023-11-10
34,432,Lead,2024-06-06
34,16822,Developer,2023-09-01
35,10660,Developer,2023-11-30
36,408,Analyst,2024-11-10
36,7539,Developer,2024-12-10
36,22769,Analyst,2023-10-29
37,5069,Developer,2024-04-15
37,14975,Manager,2024-03-28
37,21508,Executive,2023-08-29
38,12594,Analyst,2024-02-07
38,22260,Lead,2023-08-29
38,23651,Lead,2024-12-18
39,23304,Manager,2023-08-12
40,23459,Lead,2024-06-18
41,303,Executive,2024-09-15
41,6152,Manager,2024-06-27
41,11920,Developer,2023-10-08
41,15384,Executive,2025-02-08
41,17720,Analyst,2024-06-02
42,15780,Manager,2024-09-16
43,1117,Developer,2025-02-15
43,4322,Analyst,2024-08-30
43,6417,Executive,2024-12-13
43,17559,Manager,2023-07-06
44,17059,Executive,2025-04-30
44,23421,Lead,2024-08-28
45,18524,Lead,2023-05-30
45,19796,Lead,2024-06-14
45,20293,Lead,2025-04-14
46,327,Executive,2025-03-07
46,1616,Manager,2025-03-30
47,8963,Lead,2024-04-09
47,14158,Analyst,2024-05-27
47,17532,Executive,2025-05-10
47,22559,Analyst,2025-01-25
47,24264,Developer,2024-03-28
48,399,Analyst,2023-11-28
48,3212,Developer,2024-03-01
48,14296,Manager,2023-06-30
48,19805,Developer,2023-09-21
49,7722,Analyst,2023-12-16
49,20571,Lead,2024-07-08
49,21203,Analyst,2024-06-24
49,21620,Lead,2023-09-29
50,13803,Analyst,2025-03-17
51,4091,Analyst,2024-12-22
51,11919,Manager,2025-01-04
51,16252,Executive,2024-09-17
51,24242,Lead,2023-05-26
52,633,Executive,2024-02-03
52,11722,Analyst,2024-08-06
52,16666,Manager,2024-05-13
53,1521,Manager,2024-05-08
53,13014,Lead,2024-12-31
53,21016,Developer,2024-03-01
53,23660,Manager,2024-06-16
54,9803,Executive,2025-01-11
54,19641,Developer,2024-11-25
54,21272,Lead,2025-02-11
55,1642,Executive,2024-04-01
55,13298,Executive,2023-08-16
55,16386,Executive,2024-05-04
55,21376,Manager,2025-03-03
56,4984,Analyst,2025-01-23
56,19785,Developer,2023-10-12
56,22101,Developer,2024-03-05
56,22934,Analyst,2024-07-25
56,24847,Developer,2024-11-02
57,612,Executive,2024-06-10
57,7228,Executive,2024-01-02
57,8589,Manager,2024-05-24
57,12691,Analyst,2024-07-18
58,14259,Lead,2024-05-26
58,19739,Developer,2024-11-06
58,22087,Lead,2023-08-08
59,1192,Manager,2024-12-09
59,14560,Executive,2023-11-10
59,19354,Executive,2024-09-22
60,1455,Developer,2023-09-26
61,7016,Manager,2024-02-25
61,16110,Manager,2023-10-09
61,18444,Executive,2024-10-11
62,4263,Executive,2023-10-19
62,20744,Executive,2025-01-15
63,3362,Analyst,2024-06-15
63,10363,Developer,2024-09-17
63,22598,Manager,2025-01-14
64,18852,Lead,2024-03-24
64,21818,Manager,2024-01-24
64,22477,Lead,2023-07-02
65,3286,Analyst,2024-02-04
65,3778,Executive,2023-10-23
65,6030,Manager,2025-01-03
65,19819,Manager,2023-12-10
66,13926,Manager,2023-08-02
66,13991,Executive,2025-04-17
66,15287,Executive,2025-04-29
66,15290,Developer,2025-03-25
66,22286,Analyst,2023-06-16
67,5092,Executive,2024-03-03
67,21463,Manager,2025-05-06
68,11926,Analyst,2023-06-01
69,5282,Manager,2023-10-19
69,13001,Manager,2024-06-30
69,15951,Manager,2024-10-22
69,16490,Manager,2023-06-21
69,23867,Developer,2023-06-11
70,5559,Manager,2025-01-13
70,11490,Executive,2023-12-07
70,15159,Lead,2023-07-16
70,18555,Manager,2025-04-24
71,18367,Lead,2024-04-07
71,21268,Analyst,2023-12-16
72,11465,Analyst,2024-02-26
72,17273,Executive,2024-11-29
72,24183,Analyst,2024-09-30
73,1644,Developer,2025-05-12
73,9206,Manager,2025-04-07
73,9699,Executive,2025-04-06
73,14837,Manager,2025-03-24
73,17227,Developer,2025-05-02
74,3264,Manager,2024-03-20
75,5031,Lead,2024-12-21
75,5310,Developer,2023-06-29
75,9349,Executive,2023-08-26
75,18842,Manager,2024-12-06
75,24086,Lead,2024-12-02
76,4914,Developer,2025-04-06
76,10348,Lead,2024-04-07
76,11629,Lead,2023-12-29
76,16381,Lead,2023-06-15
76,20125,Developer,2025-05-11
77,5359,Lead,2024-03-24
77,17994,Lead,2025-03-27
77,20163,Developer,2025-01-07
78,2946,Developer,2024-03-13
78,9731,Manager,2023-06-19
78,24417,Lead,2023-06-23
79,484,Manager,2023-08-26
79,939,Executive,2024-07-29
79,1009,Developer,2025-05-09
79,7508,Executive,2024-10-03
79,22828,Developer,2024-05-14
80,6824,Lead,2024-08-22
80,7737,Lead,2023-12-26
80,9518,Developer,2025-04-19
80,11609,Developer,2025-05-01
80,16553,Lead,2024-04-04
81,10821,Manager,2023-07-16
81,18394,Analyst,2023-10-18
81,22334,Developer,2023-08-25
82,1943,Lead,2025-02-09
82,14978,Manager,2025-01-17
82,22552,Manager,2025-04-26
83,2926,Manager,2024-10-20
83,2992,Manager,2024-06-21
83,4653,Lead,2024-03-25
83,8091,Manager,2023-07-06
83,15281,Developer,2024-04-28
84,7022,Analyst,2024-12-23
84,18687,Analyst,2024-07-07
84,21827,Executive,2024-04-09
84,22911,Lead,2024-05-02
84,23142,Lead,2023-08-29
85,5300,Executive,2024-12-16
85,22271,Analyst,2025-03-05
86,9733,Lead,2025-04-06
86,9906,Manager,2024-01-11
87,18112,Developer,2023-07-01
88,9607,Analyst,2024-07-13
89,15702,Developer,2025-01-01
90,4878,Analyst,2024-08-12
91,23,Executive,2024-08-19
92,17234,Lead,2023-12-14
93,6467,Developer,2023-10-17
93,12931,Manager,2023-06-22
93,13302,Lead,2025-04-16
93,21972,Developer,2024-04-03
94,5973,Executive,2024-06-17
94,10245,Manager,2025-02-04
94,12473,Executive,2024-11-26
95,386,Manager,2023-11-07
95,3237,Executive,2024-09-03
95,4428,Lead,2024-05-13
95,6414,Analyst,2023-07-11
95,7848,Lead,2023-11-11
96,6196,Analyst,2025-01-29
96,7908,Lead,2024-08-16
96,13227,Analyst,2023-09-18
96,23993,Executive,2023-08-20
96,24655,Manager,2024-01-13
97,6255,Lead,2025-03-13
98,5539,Lead,2024-08-20
98,8189,Developer,2024-08-08
98,9332,Developer,2024-02-16
98,9511,Analyst,2023-06-16
98,12441,Manager,2025-05-17
99,12173,Analyst,2024-10-27
99,19207,Analyst,2023-11-12
99,20069,Manager,2024-09-22
99,23032,Manager,2023-07-19
100,732,Executive,2024-03-20
100,4658,Lead,2024-11-28
100,16544,Developer,2023-08-09
100,17399,Executive,2023-07-20
101,13124,Developer,2024-07-31
102,3512,Manager,2023-08-17
102,9063,Manager,2024-07-21
102,11158,Manager,2025-01-26
102,16212,Executive,2025-04-21
103,2604,Analyst,2024-07-21
103,23213,Analyst,2025-02-02
104,1491,Analyst,2024-12-11
104,6954,Lead,2023-06-22
105,12144,Lead,2024-08-30
105,13611,Developer,2024-06-03
105,21399,Manager,2024-02-26
106,13133,Manager,2024-12-03
106,15811,Developer,2024-10-06
106,17186,Analyst,2024-11-06
106,18869,Executive,2024-04-03
106,20642,Manager,2023-06-14
107,4785,Analyst,2024-06-29
107,10683,Manager,2024-03-11
107,17917,Manager,2023-06-10
107,17973,Executive,2025-03-02
107,22598,Lead,2024-02-09
108,3999,Executive,2023-11-23
108,11186,Analyst,2024-06-09
108,17786,Developer,2025-02-08
108,24349,Analyst,2023-08-14
109,5297,Lead,2025-03-26
109,17562,Lead,2023-06-27
109,24783,Developer,2025-05-16
110,9442,Lead,2024-08-23
110,22161,Manager,2024-07-25
110,24466,Executive,2023-10-16
111,9284,Lead,2024-02-25
111,17220,Developer,2024-01-15
111,24923,Executive,2024-05-04
112,10138,Analyst,2025-03-25
112,24690,Executive,2024-02-27
113,10244,Executive,2024-01-12
113,11570,Lead,2025-05-14
113,13900,Analyst,2023-09-01
114,628,Executive,2025-02-27
114,3979,Lead,2025-03-26
114,5116,Lead,2023-11-12
114,17086,Manager,2024-10-24
115,4876,Developer,2024-09-14
115,9952,Manager,2024-07-10
115,16342,Executive,2025-02-13
115,18998,Lead,2023-06-27
116,555,Lead,2025-05-07
117,4285,Analyst,2025-01-02
117,16665,Developer,2023-10-23
